# epoch,train_mse,val_mse,val_iou
1.000000,0.038506,0.021048,0.834730
2.000000,0.014662,-1.000000,-1.000000
3.000000,0.011812,-1.000000,-1.000000
4.000000,0.010972,-1.000000,-1.000000
5.000000,0.011093,0.021772,0.728443
6.000000,0.010645,-1.000000,-1.000000
7.000000,0.010284,-1.000000,-1.000000
8.000000,0.010215,-1.000000,-1.000000
9.000000,0.010396,-1.000000,-1.000000
10.000000,0.009996,0.015786,0.826002
11.000000,0.009793,-1.000000,-1.000000
12.000000,0.009806,-1.000000,-1.000000
13.000000,0.009479,-1.000000,-1.000000
14.000000,0.009345,-1.000000,-1.000000
15.000000,0.009349,0.014734,0.828837
16.000000,0.009119,-1.000000,-1.000000
17.000000,0.009250,-1.000000,-1.000000
18.000000,0.008955,-1.000000,-1.000000
19.000000,0.008821,-1.000000,-1.000000
20.000000,0.008525,0.013255,0.820190
21.000000,0.008289,-1.000000,-1.000000
22.000000,0.008230,-1.000000,-1.000000
23.000000,0.007995,-1.000000,-1.000000
24.000000,0.007779,-1.000000,-1.000000
25.000000,0.007817,0.010258,0.872244
26.000000,0.007460,-1.000000,-1.000000
27.000000,0.007667,-1.000000,-1.000000
28.000000,0.007255,-1.000000,-1.000000
29.000000,0.007046,-1.000000,-1.000000
30.000000,0.007118,0.011985,0.827733
31.000000,0.007029,-1.000000,-1.000000
32.000000,0.006865,-1.000000,-1.000000
33.000000,0.006799,-1.000000,-1.000000
34.000000,0.006695,-1.000000,-1.000000
35.000000,0.006560,0.012086,0.814020
36.000000,0.006686,-1.000000,-1.000000
37.000000,0.006562,-1.000000,-1.000000
38.000000,0.006367,-1.000000,-1.000000
39.000000,0.006364,-1.000000,-1.000000
40.000000,0.006353,0.010708,0.828147
41.000000,0.006339,-1.000000,-1.000000
42.000000,0.006192,-1.000000,-1.000000
43.000000,0.006090,-1.000000,-1.000000
44.000000,0.006113,-1.000000,-1.000000
45.000000,0.006080,0.009482,0.857050
46.000000,0.006114,-1.000000,-1.000000
47.000000,0.005909,-1.000000,-1.000000
48.000000,0.005861,-1.000000,-1.000000
49.000000,0.005878,-1.000000,-1.000000
50.000000,0.005746,0.010984,0.818451
51.000000,0.005741,-1.000000,-1.000000
52.000000,0.005793,-1.000000,-1.000000
53.000000,0.005798,-1.000000,-1.000000
54.000000,0.005672,-1.000000,-1.000000
55.000000,0.005557,0.010432,0.830273
56.000000,0.005569,-1.000000,-1.000000
57.000000,0.005557,-1.000000,-1.000000
58.000000,0.005518,-1.000000,-1.000000
59.000000,0.005483,-1.000000,-1.000000
60.000000,0.005528,0.010141,0.823812
61.000000,0.005498,-1.000000,-1.000000
62.000000,0.005418,-1.000000,-1.000000
63.000000,0.005431,-1.000000,-1.000000
64.000000,0.005378,-1.000000,-1.000000
65.000000,0.005369,0.010051,0.834245
66.000000,0.005417,-1.000000,-1.000000
67.000000,0.005349,-1.000000,-1.000000
68.000000,0.005336,-1.000000,-1.000000
69.000000,0.005307,-1.000000,-1.000000
70.000000,0.005251,0.009175,0.848478
71.000000,0.005311,-1.000000,-1.000000
72.000000,0.005278,-1.000000,-1.000000
73.000000,0.005278,-1.000000,-1.000000
74.000000,0.005250,-1.000000,-1.000000
75.000000,0.005251,0.010379,0.821002
76.000000,0.005205,-1.000000,-1.000000
77.000000,0.005229,-1.000000,-1.000000
78.000000,0.005170,-1.000000,-1.000000
79.000000,0.005190,-1.000000,-1.000000
80.000000,0.005166,0.010230,0.820221
81.000000,0.005178,-1.000000,-1.000000
82.000000,0.005141,-1.000000,-1.000000
83.000000,0.005162,-1.000000,-1.000000
84.000000,0.005136,-1.000000,-1.000000
85.000000,0.005119,0.009541,0.833097
86.000000,0.005142,-1.000000,-1.000000
87.000000,0.005105,-1.000000,-1.000000
88.000000,0.005129,-1.000000,-1.000000
89.000000,0.005108,-1.000000,-1.000000
90.000000,0.005106,0.009794,0.828431
91.000000,0.005148,-1.000000,-1.000000
92.000000,0.005127,-1.000000,-1.000000
93.000000,0.005092,-1.000000,-1.000000
94.000000,0.005098,-1.000000,-1.000000
95.000000,0.005112,0.009774,0.828852
96.000000,0.005087,-1.000000,-1.000000
97.000000,0.005087,-1.000000,-1.000000
98.000000,0.005102,-1.000000,-1.000000
99.000000,0.005086,-1.000000,-1.000000
100.000000,0.005098,0.009761,0.829799
