scenario,t0,iou_step6,fnr_step6
sim_1000kw_1m2_T01,60.0,0.6775898520077404,0.24941451990603114
sim_1000kw_1m2_T01,90.0,0.7726562499993964,0.06610009442864391
sim_1000kw_1m2_T01,120.0,0.8036101083026689,0.07327227310568421
sim_1000kw_1m2_T01,150.0,0.8373369938223492,0.046129788897540165
sim_1000kw_1m2_T01,180.0,0.840397350992821,0.0429864253393341
sim_1000kw_1m2_T01,210.0,0.8487994808560358,0.05627705627701567
sim_1000kw_1m2_T03,60.0,0.6266416510313071,0.32388663967578557
sim_1000kw_1m2_T03,90.0,0.746387283236455,0.07187780772679975
sim_1000kw_1m2_T03,120.0,0.7376623376618586,0.04135021097042924
sim_1000kw_1m2_T03,150.0,0.7147258163889619,0.03171953255423062
sim_1000kw_1m2_T03,180.0,0.7092746730079017,0.034789644012916836
sim_1000kw_1m2_T03,210.0,0.7110064743962855,0.02502017756253025
sim_1000kw_2m2_T01,60.0,0.6311430149085416,0.360380526021063
sim_1000kw_2m2_T01,90.0,0.7433366238890704,0.23241590214055433
sim_1000kw_2m2_T01,120.0,0.7460744728574491,0.2268712226870168
sim_1000kw_2m2_T01,150.0,0.7645514223191402,0.2073502722322108
sim_1000kw_2m2_T01,180.0,0.7450650986977131,0.2270152505445634
sim_1000kw_2m2_T01,210.0,0.7348703170025793,0.24171622769743342
sim_1000kw_2m2_T05,60.0,0.7019985724480007,0.29371633752233617
sim_1000kw_2m2_T05,90.0,0.7854393842204024,0.21050934880715327
sim_1000kw_2m2_T05,120.0,0.7958552428082908,0.19943995021773508
sim_1000kw_2m2_T05,150.0,0.8197424892701349,0.17290442313635235
sim_1000kw_2m2_T05,180.0,0.8341508277128038,0.1573242489934477
sim_1000kw_2m2_T05,210.0,0.8378625954195915,0.15177743431216328
sim_1500kw_1m2_T02,60.0,0.779107225034156,0.1317948717948042
sim_1500kw_1m2_T02,90.0,0.8254813600979822,0.037726838586419426
sim_1500kw_1m2_T02,120.0,0.8202819107279482,0.032779316712819584
sim_1500kw_1m2_T02,150.0,0.823889739662778,0.027564392227732687
sim_1500kw_1m2_T02,180.0,0.8070044709385965,0.030438675022367755
sim_1500kw_1m2_T02,210.0,0.7890935355721238,0.03617115130126327
sim_1500kw_1m2_T03,60.0,0.7115646258498561,0.24802300503217253
