name,loc,hrr_kw,area_m2,t0,geodesic__ConvLSTM_fnr_step6,geodesic__ConvLSTM_iou_all,geodesic__ConvLSTM_iou_step6,geodesic__ConvLSTM_rmse_step6,geodesic__FNO PI_fnr_step6,geodesic__FNO PI_iou_all,geodesic__FNO PI_iou_step6,geodesic__FNO PI_rmse_step6,geodesic__FNO no-PI_fnr_step6,geodesic__FNO no-PI_iou_all,geodesic__FNO no-PI_iou_step6,geodesic__FNO no-PI_rmse_step6,interp_geodesic_rmse_CO,interp_geodesic_rmse_T,interp_geodesic_rmse_V,interp_linear_rmse_CO,interp_linear_rmse_T,interp_linear_rmse_V,linear__ConvLSTM_fnr_step6,linear__ConvLSTM_iou_all,linear__ConvLSTM_iou_step6,linear__ConvLSTM_rmse_step6,linear__FNO PI_fnr_step6,linear__FNO PI_iou_all,linear__FNO PI_iou_step6,linear__FNO PI_rmse_step6,linear__FNO no-PI_fnr_step6,linear__FNO no-PI_iou_all,linear__FNO no-PI_iou_step6,linear__FNO no-PI_rmse_step6
sim_1000kw_1m2_T01,T01,1000,1,120.0,0.3871773522061722,0.2908226343318791,0.3046357615892779,0.17939159420588788,0.6019983347205645,0.31666005028446254,0.3564504101414195,0.17564954343590247,0.609492089924555,0.3171572527180698,0.3438416422284869,0.16584505449704315,28.466350555419922,25.438507080078125,8.770878791809082,34.687015533447266,28.730772018432617,11.59786319732666,0.8101582014980765,0.10546441346982786,0.11943425877416478,0.2604908597156365,0.8875936719393109,0.09550059594754239,0.10808646917525373,0.24186135545495444,0.9225645295579329,0.08567543064368605,0.07660626029647725,0.23756958256723656
sim_1000kw_1m2_T03,T03,1000,1,120.0,0.2160337552740793,0.39354066985642794,0.3715999999998514,0.22896196506921732,0.3130801687761071,0.4763289036544356,0.4774193548384297,0.17194663526593362,0.274261603375296,0.4863861386138112,0.5109922756978544,0.1563123476291495,25.19972801208496,25.655288696289062,8.902616500854492,41.98406982421875,44.364933013916016,11.059257507324219,0.5265822784805683,0.24594680512872247,0.259722222222102,0.25693904121267547,0.594092827003718,0.2700786386489274,0.3267663043476041,0.1921604089588707,0.5443037974678951,0.2820447609358746,0.3633916554506303,0.17375409702285735
sim_1000kw_2m2_T01,T01,1000,2,120.0,0.2993956299394238,0.39010164972502415,0.4325487944889688,0.22406896008908428,0.5141794514177062,0.4023726031485188,0.43487307532233255,0.1977480494860834,0.5118549511852571,0.4170254550947642,0.4443504020311281,0.18022793112307772,33.424922943115234,31.574735641479492,9.032958984375,44.757469177246094,42.752655029296875,12.368464469909668,0.6875871687583972,0.12751086573475112,0.18476766565845895,0.3165042256388234,0.7973035797299873,0.12378483473751427,0.19542805916620554,0.2699906394373465,0.839609483960558,0.10165329841217043,0.15688949522503098,0.26894802098971343
sim_1000kw_2m2_T05,T05,1000,2,120.0,0.17112632233971029,0.6737297488191112,0.6653346653344991,0.23115973640759518,0.3982576228996894,0.5665249403712244,0.5786953919806767,0.19719163368199427,0.37927815805837606,0.58854111963026,0.6023550724635862,0.1765327094837748,24.836366653442383,34.75886154174805,8.318020820617676,33.230323791503906,35.13963317871094,12.07852840423584,0.5597386434347978,0.24527805775887437,0.3148642634623242,0.3345900775479577,0.7654013690103406,0.1547966272471679,0.22820823244545152,0.2988137145178976,0.7837585563158731,0.151184555323806,0.21391197291467715,0.29203433110781274
sim_1500kw_1m2_T02,T02,1500,1,120.0,0.2594644506000649,0.4173597459549162,0.43551452620134795,0.2500483875023662,0.6061865189286213,0.3209315951369327,0.3439516129030871,0.2161994519900733,0.5761772853182936,0.3305693344191656,0.3807548734963166,0.20300047794693318,31.366418838500977,49.55134963989258,9.040401458740234,32.208770751953125,44.941871643066406,12.20666217803955,0.583564173591605,0.15346561273322828,0.23241432620452657,0.31249210276089867,0.8213296398888175,0.10019402405897554,0.17199999999992355,0.2727133942948432,0.8176361957521617,0.09833502696786536,0.17697132616479527,0.25901234799798983
sim_1500kw_1m2_T03,T03,1500,1,120.0,0.15490430622000304,0.4716028876253452,0.4762386248734492,0.2302084875137498,0.3696172248801617,0.4968080808080406,0.4834862385318883,0.1810661237947619,0.33672248803807614,0.5144413269515997,0.5189518015907726,0.16163131881430123,26.559667587280273,29.75138282775879,9.156363487243652,40.93980026245117,46.02446746826172,11.768352508544922,0.4982057416264963,0.2526259704673274,0.2928446771377686,0.2824066561634388,0.6507177033488931,0.24765729585004323,0.2987212276213306,0.22267892544659162,0.5956937799039499,0.2683068017365877,0.3552285864422726,0.19944693318039308
sim_1500kw_2m2_T05,T05,1500,2,120.0,0.17752678829997756,0.724021678828971,0.6831849891747214,0.23647844125676928,0.2893136403126877,0.6468094804010645,0.6708583925640593,0.1952605491811855,0.3208803938603183,0.6369918122012098,0.6613085166382794,0.17938506218283978,38.50152587890625,52.04936981201172,8.596834182739258,48.20392990112305,48.26956558227539,12.035390853881836,0.5531421951924259,0.2864895060250464,0.337415263503097,0.335911551528341,0.6959165942656542,0.19875046974820562,0.28649386084576084,0.3010597558646481,0.7095279467127977,0.1999999999999904,0.2848622550411006,0.28790340972851575
sim_500kw_1m2_T01,T01,500,1,120.0,0.5432098765420922,0.2967791411042186,0.2944297082224212,0.13842901793354745,0.759259259257697,0.24814705010369162,0.21043165467588051,0.16808439071767367,0.7818930041136175,0.26227988878583186,0.20703124999959566,0.1653369141041062,23.131744384765625,23.64698028564453,7.8014373779296875,27.439590454101562,25.127107620239258,10.245570182800293,0.8559670781875391,0.11117302869877092,0.09817671809242892,0.20181049168643325,0.9218106995865807,0.08314238952534103,0.07364341085257047,0.19434365731531367,0.9218106995865807,0.08849557522120993,0.07495069033515789,0.19206102113496182
sim_500kw_1m2_T02,T02,500,1,120.0,0.8639896373045803,0.05619707467281443,0.09528130671497706,0.17871360386045965,0.9158031088071039,0.040599769319483135,0.08344030808718429,0.1901199736887609,0.9209844559573562,0.02090106827681818,0.07901554404134843,0.1861951285253521,11.93054485321045,19.285280227661133,8.6065034866333,12.094923973083496,17.86231231689453,10.375622749328613,0.9870466321230738,0.0034682080924849762,0.007949125596178101,0.20855121155186315,0.9999999999987047,0.0006962172197724074,0.0,0.21016093770183594,0.9961139896360154,0.0016203703703699952,0.003861003860998892,0.20740577935533672
sim_500kw_1m2_T03,T03,500,1,120.0,0.26724137930988406,0.30465273095073436,0.28428093645465935,0.20114597288382463,0.2379310344823484,0.4695817490493304,0.46871686108115723,0.13167463219966977,0.18448275862037158,0.45344287949912876,0.46555118110190397,0.1305561976463576,14.686043739318848,20.162443161010742,7.80873966217041,24.774124145507812,32.987281799316406,9.201584815979004,0.5155172413784216,0.2713787085514242,0.298618490966739,0.19039198366497223,0.5793103448265874,0.2513343037359895,0.31895424836559616,0.15840744298238935,0.5499999999990517,0.2617901828680794,0.3254364089771503,0.15137815418721098
